525-1-307-31|2G|0.0|1.3050833333333334|103.87497222222221|659|128|50|1
525-1-307-32|2G|0.0|1.3050833333333334|103.87497222222221|659|128|50|1
525-1-307-33|3G|0.0|1.3050833333333334|103.87497222222221|659|128|50|1
525-1-307-34|3G|0.0|1.3050833333333334|103.87497222222221|659|228|50|1
525-1-307-35|4G|0.0|1.3050833333333334|103.87497222222221|659|228|50|1
525-1-307-131|4G|0.0|1.4050833333333334|103.97497222222221|759|228|60|2
525-1-307-132|2G|0.0|1.4050833333333334|103.97497222222221|759|228|60|2
525-1-307-133|2G|0.0|1.4050833333333334|103.97497222222221|759|328|60|2
525-1-307-134|3G|0.0|1.4050833333333334|103.97497222222221|759|328|70|2
525-1-307-135|3G|0.0|1.4050833333333334|103.97497222222221|759|328|70|2
525-1-307-1131|4G|0.0|1.5050833333333334|103.77497222222221|859|428|70|3
525-1-307-1132|4G|0.0|1.5050833333333334|103.77497222222221|859|428|80|3
525-1-407-1133|2G|0.0|1.5050833333333334|103.77497222222221|859|428|80|3
525-1-407-1134|2G|0.0|1.5050833333333334|103.77497222222221|859|428|80|3
525-1-407-11131|3G|0.0|1.2050833333333334|103.67497222222221|959|528|80|4
525-1-307-31|2G|0.0|1.3050833333333334|103.87497222222221|659|128|50|1
525-1-307-32|2G|0.0|1.3050833333333334|103.87497222222221|659|128|50|1
525-1-307-33|3G|0.0|1.3050833333333334|103.87497222222221|659|128|50|1
525-1-307-34|3G|0.0|1.3050833333333334|103.87497222222221|659|228|50|1
525-1-307-35|4G|0.0|1.3050833333333334|103.87497222222221|659|228|50|1
525-1-307-131|4G|0.0|1.4050833333333334|103.97497222222221|759|228|60|2
525-1-307-132|2G|0.0|1.4050833333333334|103.97497222222221|759|228|60|2
525-1-307-133|2G|0.0|1.4050833333333334|103.97497222222221|759|328|60|2
525-1-307-134|3G|0.0|1.4050833333333334|103.97497222222221|759|328|70|2
525-1-307-135|3G|0.0|1.4050833333333334|103.97497222222221|759|328|70|2
525-1-307-1131|4G|0.0|1.5050833333333334|103.77497222222221|859|428|70|3
525-1-307-1132|4G|0.0|1.5050833333333334|103.77497222222221|859|428|80|3
525-1-407-1133|2G|0.0|1.5050833333333334|103.77497222222221|859|428|80|3
525-1-407-1134|2G|0.0|1.5050833333333334|103.77497222222221|859|428|80|3
525-1-407-11131|3G|0.0|1.2050833333333334|103.67497222222221|959|528|80|4
